run,data_type,n,algo,time_ns,char_cmp
2,almost,100,string_quick3,5750,1267
2,almost,100,msd_plain,25167,448
2,almost,100,msd_switch,14208,1230
2,random,200,quick_std,62083,30099
2,random,200,merge_std,128250,1497
2,random,200,merge_lcp,128375,1174
2,random,200,string_quick3,16792,2436
2,random,200,msd_plain,46375,772
2,random,200,msd_switch,26125,919
2,reverse,200,quick_std,44333,28625
2,reverse,200,merge_std,119291,1322
2,reverse,200,merge_lcp,118500,740
2,reverse,200,string_quick3,11792,3043
2,reverse,200,msd_plain,54750,954
2,reverse,200,msd_switch,30833,2021
2,almost,200,quick_std,54833,31019
2,almost,200,merge_std,95208,1754
2,almost,200,merge_lcp,95166,789
2,almost,200,string_quick3,11667,2680
2,almost,200,msd_plain,51458,938
2,almost,200,msd_switch,27250,2570
2,random,300,quick_std,89500,42993
2,random,300,merge_std,219667,2528
2,random,300,merge_lcp,225375,1923
2,random,300,string_quick3,27292,4316
2,random,300,msd_plain,70917,1202
2,random,300,msd_switch,40084,1628
2,reverse,300,quick_std,59875,38382
2,reverse,300,merge_std,180208,2050
2,reverse,300,merge_lcp,189000,1100
2,reverse,300,string_quick3,18500,4753
2,reverse,300,msd_plain,84000,1444
2,reverse,300,msd_switch,46041,3033
2,almost,300,quick_std,84042,48637
2,almost,300,merge_std,153708,2844
2,almost,300,merge_lcp,156042,1148
2,almost,300,string_quick3,18792,4587
2,almost,300,msd_plain,83417,1420
2,almost,300,msd_switch,46666,3786
2,random,400,quick_std,125583,60259
2,random,400,merge_std,277125,3663
2,random,400,merge_lcp,286209,2713
2,random,400,string_quick3,35500,5816
2,random,400,msd_plain,97041,1634
2,random,400,msd_switch,56083,2330
2,reverse,400,quick_std,87292,57345
2,reverse,400,merge_std,244834,2842
2,reverse,400,merge_lcp,258542,1509
2,reverse,400,string_quick3,25375,6781
2,reverse,400,msd_plain,110209,1918
2,reverse,400,msd_switch,60666,4103
2,almost,400,quick_std,110917,63422
2,almost,400,merge_std,224459,3970
2,almost,400,merge_lcp,228166,1597
2,almost,400,string_quick3,26458,5775
2,almost,400,msd_plain,109500,1878
2,almost,400,msd_switch,62625,5392
2,random,500,quick_std,152958,70345
2,random,500,merge_std,362959,4867
2,random,500,merge_lcp,416209,3500
2,random,500,string_quick3,46459,7947
2,random,500,msd_plain,122000,2064
2,random,500,msd_switch,72625,3144
2,reverse,500,quick_std,91208,59000
2,reverse,500,merge_std,313667,3739
2,reverse,500,merge_lcp,346916,1911
2,reverse,500,string_quick3,31333,8315
2,reverse,500,msd_plain,140916,2412
2,reverse,500,msd_switch,76125,5095
2,almost,500,quick_std,130833,73655
2,almost,500,merge_std,276917,4922
2,almost,500,merge_lcp,303291,1971
2,almost,500,string_quick3,34000,7290
2,almost,500,msd_plain,142167,2358
2,almost,500,msd_switch,78458,6826
2,random,600,quick_std,189958,89350
2,random,600,merge_std,461584,6130
2,random,600,merge_lcp,464500,4407
2,random,600,string_quick3,58792,10782
2,random,600,msd_plain,149583,2502
2,random,600,msd_switch,88375,3961
2,reverse,600,quick_std,121917,80455
2,reverse,600,merge_std,384166,4389
2,reverse,600,merge_lcp,431083,2284
2,reverse,600,string_quick3,37583,9990
